ColourName,Red,Green,Blue,Search STRINGS (comma-separated),Search WHOLE WORDS (comma-separated)
Red,1,0.1,0.1,"population-based,inception",
Green,0.2,1,0.2,"critical care,severe disease,ventilat,hospit,bed-day",icu
Blue,0.2,0.2,1,"year,data,adult,child,pregnan,asthma","age,date"
Yellow,1,1,0,"model,p value,significan,population,median,confidence interval,variable",p
Pink,1,0.2,0.7,"summer,winter",
Turquoise,0,0.8,0.9,"august,september,october,november,december",
Purple,0.5,0,0.6,"january,february,march,april,may,june,july",
Orange,1,0.5,0,"patient,cohort,group,sample",
Burgundy,0.6,0.4,0.2,,mean
Teal,0.1,0.4,0.5,"logistic,regression,backward-elimination,fisher,wilcox,rank-sum",
Dark blue,0,0,0.7,,and
Brown,0.7,0.4,0.3,,
